sample_name,Chao1,Shannon,FaithPD,sample_or_control,date_extracted,quant_reading,date_PCR,avg_sperm_length,aggression_assay,sex,species,date_behavioral_assayed,time_behavioral_assay,date_collected,time_collected,site,locality,mount_ID,vocal_ID,dissector _initials,assayed?,type_of_collect,weather,breeding_notes,breeding_stage,number_of_lures,time_assay_start,time_responded_to_playback,time_shot,time_in_hand,time_euthanized,facial_ornament,testis1_length,testis1_width,testis1_mass_oz,testis2_length,testis2_width,testis2_mass_oz,avg_testes_length,avg_testes_width,avg_testes_mass,gonad_mass,avg_testes_vol,ovary_mass,follicle1_length,follicle1_width,follicle2_length,follicle2_width,nest_photo,body_mass,facial_shield_length,facial_shield_width,facial_shield_index,wattle_length,wattle_width,wattle_index,dorsal_index,bill_length,bill_width,bill_depth,tarsus_length,wing_length,left_spur,right_spur,avg_spur,testosterone,log_testosterone,ln_testosterone,distance,hover_flights,wing_spread,flyovers,vocalizations,threats,pecks,comp.1,comp.2,comp.3,Issues?,Notes 1,Notes 2
NOF9,220,3.927364464,17.09851166,true_sample,12-Jun-23,17.5,18-Jun-23,,20,female,J. spinosa,22-Jun-18,,29-Jun-18,11:27,La Barqueta,"canal, center palm along main Rd",191,Gaurumal,SEL,Yes,Delayed,,,Courtship,,,,11:27,11:27,11:28,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,0.02,,,,,NA,141.3,29.8,26.4,1,0,0,1,1,19.7,4.8,6.5,59.4,132,15.2,15.3,15.25,1.415,0.15075644,0.347129531,5.833333333,0.3,0.4,0.033333333,1,0,0,-3.361054907,-0.764671675,-2.165736365,,,Abnormal shape to facial shield
NOM1,198.75,2.610619493,20.84692683,true_sample,8-Mar-20,17.4,18-Jun-23,98.18391667,4,male,J. spinosa,4-Jun-18,,12-Jun-18,1:03 PM,La Barqueta,Canal beach side of palm trees,191,Colorado,SEL,Yes,Delayed,,Incubating,Parenting,,,,1:03,1:04,1:04,Yes,14.7,8.7,0.025,NA,NA,0.01,14.7,8.7,0.0175,0.0175,4658.26536,NA,NA,NA,NA,NA,Nest 1,92.1,22,NA,1,0,0,1,1,18.2,4.5,5.9,58.5,115,11.3,11.2,11.25,0.118,-1.081576459,-2.49042183,3.933333333,0.166666667,1.366666667,0.1,0.966666667,0,0,-5.204677764,-0.659264707,1.206742588,,F may have had at least one other male; Abornmal facial shield - very narrow; skull thin - younger male?,
NOM10,85.85714286,0.814415451,10.28056615,true_sample,8-Mar-20,13.5,18-Jun-23,99.1927,27,male,J. spinosa,30-Jun-18,,7-Jul-18,9:46 AM,La Barqueta,Canal beachside of palm cluster,191,La Barqueta,SEL,Yes,Delayed,cloudy,Incubating nest; BP; female has a 2nd male also with nest,Parenting,,,,9:46; 9:47,9:47,9:47,Yes,11.5,7.8,0.01,15.5,7.8,0.015,13.5,7.8,0.0125,0.0125,3438.6768,NA,NA,NA,NA,NA,Nest 5,84,21.2,18.7,1,0,0,1,1,17.4,4,6,56.5,117,10.3,9.3,9.8,0.106875,-0.971123872,-2.236095352,18.33333333,0.111111111,0.148148148,0,0.074074074,0,0,0.608871347,-1.102676611,-0.776312132,Brain landed on weighboat before froze - frontal lobes flat but bottom ok,,
NOM11,105.2,3.565249492,11.21506404,true_sample,8-Mar-20,9.62,18-Jun-23,97.3907,31,male,J. spinosa,1-Jul-18,,8-Jul-18,10:00,Stone wall Rd/ Heron Rookery,Corner marsh by entrace to field,209,Colorado,SEL,Yes,Delayed,50% cloud cover,Incubating,Parenting,,,,9:47,9:47,9:47,Yes,,,0.005,,,0.01,NA,NA,0.0075,0.0075,NA,NA,NA,NA,NA,NA,Nest 9,100.4,25.3,21.9,1,0,0,1,1,17.7,4.2,5.9,56.7,120,10.4,10.9,10.65,0.862125,-0.064429761,-0.148355007,19.5,0.133333333,0.566666667,0.066666667,0.6,0,0,-1.80217397,-1.278357594,0.902911297,Nicked lower L lobe w/scissors and frontal lobe w/rongeurs; Pellet went through body cavity and testes lost structure/soft,"F has 2 males, both with nests",
NOM12,53,1.154688415,5.714286679,true_sample,12-Jun-23,23,18-Jun-23,,33,male,J. spinosa,1-Jul-18,,8-Jul-18,13:01,Stone wall Rd/ Heron Rookery,Dead tree/strangler fig,209,La Barqueta,SEL,Yes,Delayed,,Incubating,Parenting,,,,13:01,13:01,13:02,Yes,,,0.005,,,NA,NA,NA,0.005,0.005,NA,NA,NA,NA,NA,NA,Nest 11,91.8,22.5,20.4,1,0,0,1,1,17.5,4.4,5.6,54.3,114,11.2,11,11.1,1.399125,0.145856517,0.335847041,3.8,0.033333333,0.1,0.066666667,1,0,0,-2.106551563,1.977200045,0.016200449,,"Male has nest, BP; F has 2 males",
NOM2,91.25,3.248360456,9.73022341,true_sample,8-Mar-20,16.9,18-Jun-23,95.9172,5,male,J. spinosa,12-Jun-18,3:30 PM,12-Jun-18,3:39 PM,La Barqueta,Center palm tree,194,Guarumal,SEL,Yes,Immediate,sunny,Copulating,Courtship,1,3:33,3:33,3:39,3:40,3:41,Yes,14.2,6.6,0.01,NA,NA,0.02,14.2,6.6,0.015,0.015,2589.67104,NA,NA,NA,NA,NA,NA,95.1,26.1,23.1,1,0,0,1,1,16.8,4.9,5.6,55.7,117,9.5,9,9.25,2.529625,0.403056145,0.92807107,20,0,0,0,0.1,0,0,1.51809424,-0.243587482,-0.065052554,,,
NOM3,135,2.129862132,12.87727782,true_sample,8-Mar-20,18.4,18-Jun-23,93.678,6,male,J. spinosa,13-Jun-18,9:24 AM,13-Jun-18,9:24 AM,La Barqueta,Pond by barn under mango tree,195,Guarumal,SEL brain; EJB body,Yes,Immediate,,Incubating,Parenting,,9:25,9:25,9:33,9:34,9:35,Yes,12.3,7.6,0.015,NA,NA,NA,12.3,7.6,0.015,0.015,2974.40896,NA,NA,NA,NA,NA,NA,90.2,23.7,20.2,1,0,0,1,1,18.5,4.3,5.8,56.7,117,11.1,10.9,11,0.694,-0.15864053,-0.365283318,9.615384615,0,0.038461538,0.038461538,0.307692308,0,0,-0.101891944,1.108595697,0.147567811,,Also collected F mate (NOF3),
NOM4,57,1.992880509,6.620689813,true_sample,8-Mar-20,18.4,18-Jun-23,96.7554,7,male,J. spinosa,13-Jun-18,3:30 PM,13-Jun-18,3:30 PM,La Barqueta,Corner of marsh along fence and canal,195,La Barqueta,SEL,Yes,Immediate,,Huge testes,Courtship,,3:30,,,,,Yes,NA,NA,0.045,NA,NA,0.015,NA,NA,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,96.8,24.2,23,1,0,0,1,1,16.9,4,5.6,53.8,113,7.8,7.2,7.5,13.313,1.124275932,2.588741001,20,0,0,0,0.1,0,0,1.51809424,-0.243587482,-0.065052554,"Lost recording, but all tissues collected in under 18 min ",Huge testes,
NOM5,45.5,1.757520426,5.545452692,true_sample,8-Mar-20,14.9,18-Jun-23,100.7726,10,male,J. spinosa,14-Jun-18,2:00 PM,14-Jun-18,2:00 PM,La Barqueta,Field behind barn and woods,209,La Gamba,SEL,Yes,Immediate,,Big testes,Courtship,1,2:31,2:31,2:41,2:42,2:43,Yes,16.5,7.5,0.015,NA,NA,0.015,16.5,7.5,0.015,0.015,3885.75,NA,NA,NA,NA,NA,NA,88.3,23.5,22.5,1,0,0,1,1,18.2,4.2,5.7,54,110,10.1,9.3,9.7,0.367625,-0.434594962,-1.000691882,20,0,0.033333333,0,0.566666667,0,0,0.862361121,0.009844607,-0.200274787,Collected 12 min 30 sec from start of assay; brain roze on weighboat edge - indent on bottom,Male flew in at lure immediately but we had set up at the edge of 2 territories- 2 pairs came in by end of the assay; Collected 12 min 30 sec from start of assay; brain froze on weighboat edge - indent on bottom,
NOM6,46,1.341754214,6.036584567,true_sample,8-Mar-20,12.2,18-Jun-23,98.5019,16,male,J. spinosa,20-Jun-18,4:45,20-Jun-18,16:52,Guarumal,Road down from stone wall near egret rookery,194,La Gamba,SEL,Yes,Immediate,,Maybe has brood patch,Parenting,,4:45,4:45,4:52,4:53,4:53,Yes,NA,NA,0.005,NA,NA,NA,NA,NA,0.005,0.005,NA,NA,NA,NA,NA,NA,NA,84.5,23.9,21.5,1,0,0,1,1,17.6,4.2,5.4,54.2,112,10.2,10.1,10.15,0.34125,-0.46692734,-1.075139932,13.5,0.066666667,0.033333333,0.033333333,0.433333333,0.233333333,0,-0.28866209,0.292222274,-0.253494961,,Died before collected enough blood; Took R eye instead of L,
